,count,mean,std,min,25%,50%,75%,max
HR_price_with_tax_euro95,665.0,1.3904789172932333,0.15164605243165116,1.02849,1.2733800000000002,1.38731,1.48447,1.87326
HR_price_with_tax_diesel,665.0,1.374460827067669,0.22225338174221573,0.9431499999999999,1.2015799999999999,1.33175,1.51999,1.99
SI_price_with_tax_euro95,665.0,1.3533153684210526,0.15384596499056327,0.9546399999999999,1.25749,1.3538299999999999,1.463,1.77232
SI_price_with_tax_diesel,665.0,1.346054766917293,0.20598039532761508,0.978,1.19365,1.32675,1.49304,1.90015
EU_price_with_tax_euro95,665.0,1.5272911187747742,0.1890902723958884,1.1605849966807926,1.3640545708280276,1.516910768083546,1.6646510175526492,2.041668466006132
EU_price_with_tax_diesel,665.0,1.429489558577388,0.23897971016740552,1.029240032497739,1.244566343663869,1.3808045569863863,1.5719703164796373,2.1122746554519787
